id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
1,Southeast Alabama Medical Center,"Dothan, AL",36301,Government,113,569,12,8,29,5
2,Marshall Medical Center South,"Boaz, AL",35957,Government,195,619,51,81,0,35
3,Eliza Coffee Memorial Hospital,"Florence, AL",,Government,381,347,4,175,260,4
4,Mizell Memorial Hospital,"Opp, AL",,Private,214,87,48,65,22,26
5,Crenshaw Community Hospital,"Luverne, AL",,Proprietary,212,299,63,71,298,33
6,St Vincent's East,"Birmingham, AL",,Private,145,301,55,22,203,28
7,Dekalb Regional Medical Center,"Fort Payne, AL",,Proprietary,427,278,63,90,253,18
8,Shelby Baptist Medical Center,"Alabaster, AL",,Private,379,144,37,191,105,23
9,Callahan Eye Hospital,"Birmingham, AL",,Private,99,451,11,33,289,7
10,Helen Keller Memorial Hospital,"Sheffield, AL",,Government,327,225,39,63,119,5
11,Dale Medical Center,"Ozark, AL",,Government,80,332,34,8,40,22
12,Floyd Cherokee Medical Center,"Centre, AL",,Private,302,689,27,228,78,10
13,Baptist Medical Center South,"Montgomery, AL",,Government,290,572,53,259,128,25
14,Jackson Hospital & Clinic Inc,"Montgomery, AL",,Private,74,455,39,58,349,32
15,East Alabama Medical Center,"Opelika, AL",,Government,460,697,23,195,303,2
16,Tanner Medical Center-east Alabama,"Wedowee, AL",,Government,29,130,40,9,17,21
17,University Of Alabama Hospital,"Birmingham, AL",,Government,9,691,31,1,62,16
18,Community Hospital Inc,"Tallassee, AL",,Private,436,221,40,179,107,16
19,Cullman Regional Medical Center,"Cullman, AL",,Government,433,354,20,7,254,12
20,Andalusia Health,"Andalusia, AL",,Proprietary,191,79,33,178,26,12
21,Stringfellow Memorial Hospital,"Anniston, AL",,Proprietary,269,690,73,93,61,53
22,Huntsville Hospital,"Huntsville, AL",,Government,335,165,22,125,9,21
23,Gadsden Regional Medical Center,"Gadsden, AL",,Proprietary,416,498,16,241,55,13
24,Marion Regional Medical Center,"Hamilton, AL",,Private,245,85,15,227,47,0
25,Fayette Medical Center,"Fayette, AL",,Unknown,24,645,75,9,198,13
26,Riverview Regional Medical Center,"Gadsden, AL",,Proprietary,422,100,50,259,98,19
27,Georgiana Medical Center,"Georgiana, AL",,Proprietary,339,676,74,161,83,20
28,Medical Center Enterprise,"Enterprise, AL",,Proprietary,250,396,37,179,233,29
29,Greene County Hospital,"Eutaw, AL",,Government,208,692,19,57,299,10
30,Lake Martin Community Hospital,"Dadeville, AL",,Proprietary,438,465,51,240,121,6
31,Flowers Hospital,"Dothan, AL",,Proprietary,86,318,57,30,215,36
32,St Vincent's Birmingham,"Birmingham, AL",,Private,496,375,62,469,296,60
33,Bibb Medical Center,"Centreville, AL",,Government,300,626,42,19,268,0
34,Lawrence Medical Center,"Moulton, AL",,Government,19,646,21,6,632,4
35,Highlands Medical Center,"Scottsboro, AL",,Government,456,169,7,164,153,0
36,Wiregrass Medical Center,"Geneva, AL",,Private,323,593,7,76,220,3
37,Russell Medical Center,"Alexander City, AL",,Private,459,104,54,233,36,54
38,Medical Center Barbour,"Eufaula, AL",,Government,270,572,33,38,526,14
39,Clay County Hospital,"Ashland, AL",,Government,483,658,19,88,438,1
40,Northeast Alabama Regional Medical Center,"Anniston, AL",,Government,194,238,70,175,69,55
41,Athens Limestone Hospital,"Athens, AL",,Government,71,524,30,8,453,9
42,South Baldwin Regional Medical Center,"Foley, AL",,Proprietary,311,56,69,153,33,61
43,Decatur Morgan Hospital-decatur Campus,"Decatur, AL",,Government,270,422,61,213,142,38
44,Northwest Medical Center,"Winfield, AL",,Proprietary,466,257,26,371,99,9
45,University Of South Alabama Medical Center,"Mobile, AL",,Government,469,345,51,122,288,14
46,Walker Baptist Medical Center,"Jasper, AL",,Private,240,524,14,19,433,11
47,Providence Hospital,"Mobile, AL",,Church,418,491,60,358,57,7
48,Grove Hill Memorial Hospital,"Grove Hill, AL",,Government,208,650,1,18,365,0
49,D C H Regional Medical Center,"Tuscaloosa, AL",,Government,249,512,55,188,208,10
50,Hale County Hospital,"Greensboro, AL",,Government,45,616,34,28,422,15
51,Elmore Community Hospital,"Wetumpka, AL",,Government,83,451,27,41,255,8
52,D W Mcmillan Memorial Hospital,"Brewton, AL",,Government,398,462,77,270,206,53
53,Thomas Hospital,"Fairhope, AL",,Private,376,582,55,26,203,54
54,Citizens Baptist Medical Center,"Talladega, AL",,Private,244,490,56,145,19,35
55,J Paul Jones Hospital,"Camden, AL",,Unknown,139,41,74,57,0,20
56,Princeton Baptist Medical Center,"Birmingham, AL",,Church,67,557,27,10,225,10
57,Grandview Medical Center,"Birmingham, AL",,Proprietary,382,98,51,251,40,41
58,Prattville Baptist Hospital,"Prattville, AL",,Government,418,297,76,180,262,67
59,Pickens County Medical Center,"Carrollton, AL",,Government,321,531,66,246,397,20
60,Bullock County Hospital,"Union Springs, AL",,Proprietary,46,553,63,22,211,42
61,Bryan W. Whitfield Memorial Hospital,"Demopolis, AL",,Government,75,615,29,36,215,7
62,Mobile Infirmary Medical Center,"Mobile, AL",,Private,432,60,27,389,24,19
63,"Medical West, An Affiliate Of Uab Health System","Bessemer, AL",,Government,411,644,76,304,314,29
64,Vaughan Regional Medical Center Parkway Campus,"Selma, AL",,Proprietary,377,453,14,32,27,2
65,Monroe County Hospital,"Monroeville, AL",,Government,116,556,11,61,151,3
66,Lakeland Community Hospital,"Haleyville, AL",,Church,3,208,13,3,191,13
67,Troy Regional Medical Center,"Troy, AL",,Government,466,540,27,91,111,26
68,Jackson Medical Center,"Jackson, AL",,Proprietary,68,199,16,48,43,9
69,North Baldwin Infirmary,"Bay Minette, AL",,Private,218,117,59,156,46,30
70,St Vincent's St Clair,"Pell City, AL",,Private,189,243,55,147,44,36
71,Crestwood Medical Center,"Huntsville, AL",,Proprietary,318,345,12,262,344,5
72,Hill Hospital Of Sumter County,"York, AL",,Unknown,185,413,64,128,95,37
73,Brookwood Baptist Medical Center,"Birmingham, AL",,Proprietary,198,240,8,177,1,7
74,Springhill Memorial Hospital,"Mobile, AL",,Proprietary,152,612,41,23,247,2
75,Rmc Jacksonville,"Jacksonville, AL",,Proprietary,47,180,68,34,139,35
76,Evergreen Medical Center,"Evergreen, AL",,Proprietary,413,366,24,11,110,1
77,Baptist Medical Center East,"Montgomery, AL",,Government,184,212,66,60,167,27
78,L V Stabler Memorial Hospital,"Greenville, AL",,Proprietary,367,215,14,139,186,8
79,Shoals Hospital,"Muscle Shoals, AL",,Government,351,466,51,149,270,28
80,Russellville Hospital,"Russellville, AL",,Proprietary,73,274,72,44,240,4
81,Coosa Valley Medical Center,"Sylacauga, AL",,Unknown,270,530,40,66,374,7
82,Jack Hughston Memorial Hospital,"Phenix City, AL",,Government,19,601,64,18,225,41
83,Atmore Community Hospital,"Atmore, AL",,Government,390,631,72,256,54,46
84,St Vincent's Chilton,"Clanton, AL",,Church,73,132,23,43,6,13
85,Washington County Hospital,"Chatom, AL",,Government,64,52,32,20,22,17
86,Red Bay Hospital,"Red Bay, AL",,Government,309,562,43,257,41,1
87,Choctaw General Hospital,"Butler, AL",,Private,300,425,65,152,112,24
88,St Vincents Blount,"Oneonta, AL",,Private,284,610,67,119,218,18
89,Children's Hospital Of Alabama,"Birmingham, AL",,Private,138,664,2,39,654,0
90,University Of S A Children's And Women's Hos,"Mobile, AL",,Government,293,234,31,106,48,2
91,Providence Alaska Medical Center,"Anchorage, AK",,Church,95,523,56,44,4,32
92,Mat-su Regional Medical Center,"Palmer, AK",,Unknown,113,454,2,76,257,2
93,Bartlett Regional Hospital,"Juneau, AK",,Government,238,372,35,42,207,25
94,Fairbanks Memorial Hospital,"Fairbanks, AK",,Private,301,475,16,179,127,2
95,Alaska Regional Hospital,"Anchorage, AK",,Proprietary,315,73,27,89,50,19
96,Yukon Kuskokwim Delta Reg Hospital,"Bethel, AK",,Unknown,334,359,36,20,128,17
97,Central Peninsula General Hospital,"Soldotna, AK",,Unknown,432,238,10,298,223,9
98,Alaska Native Medical Center,"Anchorage, AK",,Government,125,460,22,36,315,21
99,Providence Valdez Medical Center,"Valdez, AK",,Government,351,508,23,286,434,17
100,Providence Seward Hospital,"Seward, AK",,Government,75,659,2,8,122,0
101,Sitka Community Hospital,"Sitka, AK",,Government,375,672,9,95,27,1
102,Petersburg Medical Center,"Petersburg, AK",,Government,295,338,74,111,305,68
103,Wrangell Medical Center,"Wrangell, AK",,Government,40,304,18,18,302,2
104,Providence Kodiak Island Medical Ctr,"Kodiak, AK",,Church,199,588,29,128,558,0
105,Cordova Community Medical Center,"Cordova, AK",,Government,33,625,67,15,157,58
106,Norton Sound Regional Hospital,"Nome, AK",,Government,128,362,58,35,81,18
107,Kanakanak Hospital,"Dillingham, AK",,Private,98,445,16,14,253,12
108,Maniilaq Health Center,"Kotzebue, AK",,Government,280,621,47,180,397,35
109,Ketchikan Medical Center,"Ketchikan, AK",,Church,500,463,48,239,47,7
110,Samuel Simmonds Memorial Hospital,"Barrow, AK",,Government,217,576,6,79,68,5
111,South Peninsula Hospital,"Homer, AK",,Private,406,636,10,237,452,3
112,Mt Edgecumbe Hospital,"Sitka, AK",,Private,214,349,43,2,40,24
113,Banner - University Medical Center Phoenix,"Phoenix, AZ",,Unknown,462,131,15,229,32,15
114,Tucson Medical Center,"Tucson, AZ",,Private,331,518,69,317,401,23
115,Verde Valley Medical Center,"Cottonwood, AZ",,Private,432,577,70,264,238,57
116,St. Mary's Hospital,"Tucson, AZ",,Private,6,108,71,6,27,20
117,St Joseph's Hospital,"Tucson, AZ",,Unknown,159,212,72,57,37,58
118,Yavapai Regional Medical Center,"Prescott, AZ",,Private,441,422,50,179,299,11
119,Yuma Regional Medical Center,"Yuma, AZ",,Private,273,145,11,4,81,9
120,John C. Lincoln North Mountain Hospital,"Phoenix, AZ",,Private,276,145,43,173,15,0
121,Banner Casa Grande Medical Center,"Casa Grande, AZ",,Unknown,291,55,33,18,40,5
122,Maricopa Medical Center,"Phoenix, AZ",,Government,355,309,34,330,105,20
123,Flagstaff Medical Center,"Flagstaff, AZ",,Private,326,284,45,103,147,8
124,St. Joseph's Hospital And Medical Center,"Phoenix, AZ",,Church,30,112,43,8,37,19
125,Abrazo Central Campus,"Phoenix, AZ",,Proprietary,401,69,71,84,15,19
126,Chandler Regional Medical Center,"Chandler, AZ",,Unknown,183,285,13,176,263,2
