,Doctor's Name,speciality
0,"Diem Truong, LAc, MSTOM",Acupuncturist
1,"Monique Rivera, LAc",Acupuncturist
2,"Ronald Pratt, LAc, DiplAc, MA, MSAc",Acupuncturist
3,"Daniel Camburn, LAc",Acupuncturist
4,"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist
5,"Miguel Maya, MSTOM, LAc",Acupuncturist
6,"Elizabeth Healy, LAc",Acupuncturist
7,"Irina Logman, LAc, DACM",Acupuncturist
8,"Han Jun, LAc",Acupuncturist
9,"Michiko Yoshifuji, DiplAc, LAc",Acupuncturist
10,"Maiko Hattori, LAc",Acupuncturist
11,"Diem Truong, LAc, MSTOM",Acupuncturist
12,"Jennifer Beltrani, LAc",Acupuncturist
13,"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist
14,"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist
15,"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist
16,"Timothy Klemt, LAc, DACM",Acupuncturist
17,"Ji Sung Kim, LAc",Acupuncturist
18,"Kirsten Manges, LAc",Acupuncturist
19,"Jing Jiang, LAc",Acupuncturist
20,"Diem Truong, LAc, MSTOM",Acupuncturist
21,"Kirsten Manges, LAc",Acupuncturist
22,"Jing Jiang, LAc",Acupuncturist
23,"Dr. Ai Lee, PhD",Acupuncturist
24,"Erin Lee, LAc, DACM",Acupuncturist
25,"Jonathan Simon, LAc",Acupuncturist
26,"Tammy Huang, MSTOM, LAc",Acupuncturist
27,"Dong Hwan Lee, LAc",Acupuncturist
28,"Jodi Gentili, LAc",Acupuncturist
29,"Boris Bernadsky, LAc, LMT",Acupuncturist
30,"Xinyu (Allison) Cheng, LAc",Acupuncturist
31,"Qian Li, LAc",Acupuncturist
32,"Anna Hajosi, LAc, MSAc",Acupuncturist
33,"Deborah Valentin, LAc, MS",Acupuncturist
34,"Ki Yin Cheng, LAc",Acupuncturist
35,"Qi Yu, LAc",Acupuncturist
36,"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist
37,"Lisa Sumption, LAc",Acupuncturist
38,"Youngsoo Oh, PT",Acupuncturist
39,"Enensaauas Rastrygina, DAc, LAc, LMT",Acupuncturist
40,"Diem Truong, LAc, MSTOM",Acupuncturist
41,"Samantha Hewwing, LAc, DACM",Acupuncturist
42,"Flora Luyando, LAc",Acupuncturist
43,"Yuji Kim, LAc",Acupuncturist
44,"Zhiwen Zhong, LAc, DACM, MSTCM",Acupuncturist
45,"Lida Ahmady, LAc",Acupuncturist
46,"Maya Kron, LAc",Acupuncturist
47,"Yoko Kuo, LAc",Acupuncturist
48,"Heeock Lee, LAc",Acupuncturist
49,"Itorye Silver, LAc",Acupuncturist
50,"Julie Cho, DAOM, LAc, MSTOM",Acupuncturist
51,"Frank Muscara, LAc, DACM",Acupuncturist
52,"Yang Yang Zucco, LAc",Acupuncturist
53,"Kelsey Tangel, DACM",Acupuncturist
54,"Joelle Ludwig, LAc",Acupuncturist
55,"Joannie Campuzano, LAc",Acupuncturist
56,"Joyce Lilly, DAc, LAc",Acupuncturist
57,"Li Ting Lin, LAc",Acupuncturist
58,"Philip Trigiani, LAc, DAc",Acupuncturist
59,"Connie Qian, LAc",Acupuncturist
60,"Diem Truong, LAc, MSTOM",Acupuncturist
61,"Douglas Freeman, LAc, MS",Acupuncturist
62,"Amy Woodstock, LAc",Acupuncturist
63,"Giovanna Silva, LAc, MSOM",Acupuncturist
64,"Dr. Yu Cheng Chen, PhD, DC, LAc",Acupuncturist
65,"Marina Doktorman, LAc",Acupuncturist
66,"Xue (Snow) Xia, LAc",Acupuncturist
67,"Dr. Aran Degenhardt, MD, CAc",Acupuncturist
68,"Jane Gibbons, LAc",Acupuncturist
69,"Li Ting Lin, LAc",Acupuncturist
70,"Russell Stram, PT",Acupuncturist
71,"Lisa Sumption, LAc",Acupuncturist
72,"Dr. Stephen Coleman, MD, LAc",Acupuncturist
73,"April Nieves, LAc",Acupuncturist
74,"Amy Woodstock, LAc",Acupuncturist
75,"Anna Piva, LAc, DACM",Acupuncturist
76,"Dumisani Kambi-Shamba, LAc, MSTOM",Acupuncturist
77,"Jonathan Simon, LAc",Acupuncturist
78,"Marjorie (Margie) Navarro, LAc",Acupuncturist
79,"Xaoling Shang, LAc, MSTOM",Acupuncturist
80,"Diem Truong, LAc, MSTOM",Acupuncturist
81,"Jacqueline Fazzalari, LAc",Acupuncturist
82,"Marc Gian, LAc",Acupuncturist
83,"Dr. Oliver Grover, DC, LAc, MS",Acupuncturist
84,"Christopher Trahan, LAc",Acupuncturist
85,"Dr. Yi Yi Wu, LAc, PhD",Acupuncturist
86,"Howard Tso, LAc",Acupuncturist
87,"Jeffrey Chen, LAc",Acupuncturist
88,"Darren Louie, LAc, MSTOM",Acupuncturist
89,"Dr. Aran Degenhardt, MD, CAc",Acupuncturist
90,"Boris Bernadsky, LAc, LMT",Acupuncturist
91,"Xaoling Shang, LAc, MSTOM",Acupuncturist
92,"Aliona Kats, LAc, LMT",Acupuncturist
93,"SongLinh Lu, LAc",Acupuncturist
94,"Zvi Goldberg, LAc",Acupuncturist
95,"Melissa Little, LAc",Acupuncturist
96,"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist
97,"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist
98,"Siras Ramos, LAc",Acupuncturist
99,"Annalisa Brown, LAc",Acupuncturist
100,"Diem Truong, LAc, MSTOM",Acupuncturist
101,"Natalie Francis, LAc",Acupuncturist
102,"Pamela Yap, LAc, MSTOM",Acupuncturist
103,"Brian Chang, DAc, DiplAc, LAc",Acupuncturist
